"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_900087465.1","GCF_900087475.1","GCF_900087485.1","GCF_900087495.1","GCF_900087505.1","GCF_900087515.1","GCF_900087535.1","GCF_900087545.1","GCF_900087575.1","GCF_900087585.1","GCF_900087595.1","GCF_900087665.1","GCF_900087695.1","GCF_900087755.1","GCF_900087765.1","GCF_900087825.1","GCF_900087835.1","GCF_900087845.1","GCF_900087885.1","GCF_900087925.1"
"group_1038","","hypothetical protein","20","20","1","1","413","","","","371","371","371","BJDFHBJJ_00487","FHFNEIGL_01421","NPNHHEFA_00375","EKGGEFJM_00567","IPCEDBCE_00738","BPLIIOBE_00644","LAKMDKJD_00580","HCNCMENI_00578","ABPCLIDI_00911","DPDPODFO_00414","GEBNMNOD_00711","FPOKCNBF_00326","JPMNGIHJ_01091","IENJPBOG_01163","EKEBIHOE_00394","KADELANJ_00308","NDKHHKNJ_01292","PDJHNNAA_00646","PHDCEHKO_00730","OOEMJHNJ_00881"
"fliW1","","Flagellar assembly factor FliW 1","20","20","1","1","354","","","","407","407","407","BJDFHBJJ_01146","FHFNEIGL_00498","NPNHHEFA_01145","EKGGEFJM_01213","IPCEDBCE_01258","BPLIIOBE_01239","LAKMDKJD_01198","HCNCMENI_01198","ABPCLIDI_01242","DPDPODFO_01036","GEBNMNOD_01085","FPOKCNBF_00411","JPMNGIHJ_01279","IENJPBOG_01288","EKEBIHOE_00843","KADELANJ_00766","NDKHHKNJ_00432","PDJHNNAA_00411","PHDCEHKO_00422","OOEMJHNJ_01497"
"rpsT","","30S ribosomal protein S20","20","20","1","5","120","","","","269","269","269","BJDFHBJJ_00339","FHFNEIGL_00362","NPNHHEFA_00919","EKGGEFJM_00923","IPCEDBCE_00042","BPLIIOBE_00131","LAKMDKJD_00341","HCNCMENI_00336","ABPCLIDI_00183","DPDPODFO_00750","GEBNMNOD_01333","FPOKCNBF_01371","JPMNGIHJ_01062","IENJPBOG_00227","EKEBIHOE_00527","KADELANJ_01367","NDKHHKNJ_01377","PDJHNNAA_01253","PHDCEHKO_00499","OOEMJHNJ_00290"
"group_1041","","hypothetical protein","20","20","1","3","47","","","","428","428","428","BJDFHBJJ_01579","FHFNEIGL_01525","NPNHHEFA_01555","EKGGEFJM_01544","IPCEDBCE_01554","BPLIIOBE_01546","LAKMDKJD_01579","HCNCMENI_01564","ABPCLIDI_01508","DPDPODFO_01549","GEBNMNOD_01529","FPOKCNBF_01548","JPMNGIHJ_01173","IENJPBOG_01522","EKEBIHOE_01545","KADELANJ_01393","NDKHHKNJ_01489","PDJHNNAA_00940","PHDCEHKO_01555","OOEMJHNJ_01362"
"group_1042","","hypothetical protein","20","20","1","4","186","","","","737","737","737","BJDFHBJJ_00121","FHFNEIGL_00119","NPNHHEFA_00118","EKGGEFJM_00116","IPCEDBCE_00287","BPLIIOBE_00223","LAKMDKJD_00119","HCNCMENI_00118","ABPCLIDI_00831","DPDPODFO_00116","GEBNMNOD_00539","FPOKCNBF_00052","JPMNGIHJ_00226","IENJPBOG_00071","EKEBIHOE_01157","KADELANJ_01184","NDKHHKNJ_00267","PDJHNNAA_01144","PHDCEHKO_01117","OOEMJHNJ_01182"
"flhF","","Flagellar biosynthesis protein FlhF","20","20","1","3","297","","","","1376","1376","1376","BJDFHBJJ_00899","FHFNEIGL_00568","NPNHHEFA_00736","EKGGEFJM_00969","IPCEDBCE_00807","BPLIIOBE_00711","LAKMDKJD_00918","HCNCMENI_01030","ABPCLIDI_01333","DPDPODFO_01312","GEBNMNOD_00982","FPOKCNBF_01469","JPMNGIHJ_00819","IENJPBOG_01040","EKEBIHOE_01055","KADELANJ_00924","NDKHHKNJ_00524","PDJHNNAA_01419","PHDCEHKO_00200","OOEMJHNJ_01037"
"rsfS","","Ribosomal silencing factor RsfS","20","20","1","1","618","","","","341","341","341","BJDFHBJJ_01452","FHFNEIGL_01382","NPNHHEFA_01352","EKGGEFJM_01352","IPCEDBCE_01438","BPLIIOBE_01418","LAKMDKJD_01420","HCNCMENI_01572","ABPCLIDI_01206","DPDPODFO_01200","GEBNMNOD_00143","FPOKCNBF_00648","JPMNGIHJ_01403","IENJPBOG_00893","EKEBIHOE_01200","KADELANJ_01493","NDKHHKNJ_01527","PDJHNNAA_01390","PHDCEHKO_00148","OOEMJHNJ_00090"
"group_1045","","hypothetical protein","20","20","1","3","264","","","","407","407","407","BJDFHBJJ_00929","FHFNEIGL_00536","NPNHHEFA_00706","EKGGEFJM_00999","IPCEDBCE_00777","BPLIIOBE_00681","LAKMDKJD_00948","HCNCMENI_01000","ABPCLIDI_01303","DPDPODFO_01342","GEBNMNOD_01012","FPOKCNBF_01439","JPMNGIHJ_00849","IENJPBOG_01010","EKEBIHOE_01025","KADELANJ_00954","NDKHHKNJ_00554","PDJHNNAA_01449","PHDCEHKO_00230","OOEMJHNJ_01007"
"group_1046","","hypothetical protein","20","20","1","5","58","","","","140","140","140","BJDFHBJJ_01064","FHFNEIGL_00997","NPNHHEFA_00812","EKGGEFJM_00333","IPCEDBCE_00122","BPLIIOBE_00051","LAKMDKJD_00841","HCNCMENI_01107","ABPCLIDI_00103","DPDPODFO_00670","GEBNMNOD_01556","FPOKCNBF_01503","JPMNGIHJ_01556","IENJPBOG_00148","EKEBIHOE_01251","KADELANJ_01282","NDKHHKNJ_00659","PDJHNNAA_01361","PHDCEHKO_01339","OOEMJHNJ_01435"
"group_1047","","hypothetical protein","20","20","1","1","260","","","","1094","1094","1094","BJDFHBJJ_00729","FHFNEIGL_01509","NPNHHEFA_00471","EKGGEFJM_00744","IPCEDBCE_00922","BPLIIOBE_00822","LAKMDKJD_00598","HCNCMENI_00760","ABPCLIDI_01479","DPDPODFO_01084","GEBNMNOD_00814","FPOKCNBF_01213","JPMNGIHJ_00065","IENJPBOG_00609","EKEBIHOE_00442","KADELANJ_01043","NDKHHKNJ_01500","PDJHNNAA_01020","PHDCEHKO_00859","OOEMJHNJ_00793"
"group_1048","","Type IV secretion system protein VirB11","20","20","1","2","250","","","","992","992","992","BJDFHBJJ_01284","FHFNEIGL_01258","NPNHHEFA_01210","EKGGEFJM_01248","IPCEDBCE_01334","BPLIIOBE_01348","LAKMDKJD_01309","HCNCMENI_01268","ABPCLIDI_00379","DPDPODFO_00549","GEBNMNOD_00434","FPOKCNBF_00480","JPMNGIHJ_00693","IENJPBOG_00427","EKEBIHOE_01385","KADELANJ_00098","NDKHHKNJ_00019","PDJHNNAA_00210","PHDCEHKO_00845","OOEMJHNJ_00414"
"group_1049","","hypothetical protein","20","20","1","3","51","","","","545","545","545","BJDFHBJJ_01584","FHFNEIGL_01530","NPNHHEFA_01560","EKGGEFJM_01549","IPCEDBCE_01559","BPLIIOBE_01541","LAKMDKJD_01584","HCNCMENI_01569","ABPCLIDI_01503","DPDPODFO_01554","GEBNMNOD_01534","FPOKCNBF_01543","JPMNGIHJ_01178","IENJPBOG_01517","EKEBIHOE_01550","KADELANJ_01388","NDKHHKNJ_01484","PDJHNNAA_00945","PHDCEHKO_01560","OOEMJHNJ_01357"
"birA","","Bifunctional ligase/repressor BirA","20","20","1","2","165","","","","638","638","638","BJDFHBJJ_01478","FHFNEIGL_01407","NPNHHEFA_01402","EKGGEFJM_01426","IPCEDBCE_01469","BPLIIOBE_01449","LAKMDKJD_01493","HCNCMENI_01419","ABPCLIDI_01539","DPDPODFO_01440","GEBNMNOD_01266","FPOKCNBF_00771","JPMNGIHJ_01409","IENJPBOG_01548","EKEBIHOE_01489","KADELANJ_00986","NDKHHKNJ_01326","PDJHNNAA_01532","PHDCEHKO_01226","OOEMJHNJ_01541"
"group_1051","","hypothetical protein","20","20","1","1","61","","","","446","446","446","BJDFHBJJ_00544","FHFNEIGL_00635","NPNHHEFA_00427","EKGGEFJM_00620","IPCEDBCE_00610","BPLIIOBE_00779","LAKMDKJD_00455","HCNCMENI_00630","ABPCLIDI_00717","DPDPODFO_00835","GEBNMNOD_00073","FPOKCNBF_00605","JPMNGIHJ_00329","IENJPBOG_00293","EKEBIHOE_00136","KADELANJ_00401","NDKHHKNJ_00097","PDJHNNAA_00049","PHDCEHKO_00300","OOEMJHNJ_00100"
"coaE","","Dephospho-CoA kinase","20","20","1","4","176","","","","590","590","590","BJDFHBJJ_00109","FHFNEIGL_00108","NPNHHEFA_00107","EKGGEFJM_00105","IPCEDBCE_00276","BPLIIOBE_00234","LAKMDKJD_00108","HCNCMENI_00107","ABPCLIDI_00820","DPDPODFO_00127","GEBNMNOD_00550","FPOKCNBF_00041","JPMNGIHJ_00215","IENJPBOG_00082","EKEBIHOE_01146","KADELANJ_01173","NDKHHKNJ_00256","PDJHNNAA_01133","PHDCEHKO_01106","OOEMJHNJ_01171"
"nfuA","","Fe/S biogenesis protein NfuA","20","20","1","1","53","","","","269","269","269","BJDFHBJJ_00536","FHFNEIGL_00643","NPNHHEFA_00436","EKGGEFJM_00628","IPCEDBCE_00618","BPLIIOBE_00787","LAKMDKJD_00447","HCNCMENI_00640","ABPCLIDI_00725","DPDPODFO_00843","GEBNMNOD_00065","FPOKCNBF_00597","JPMNGIHJ_00337","IENJPBOG_00285","EKEBIHOE_00128","KADELANJ_00409","NDKHHKNJ_00105","PDJHNNAA_00041","PHDCEHKO_00308","OOEMJHNJ_00108"
"hemE","","Uroporphyrinogen decarboxylase","20","20","1","2","338","","","","1019","1019","1019","BJDFHBJJ_00253","FHFNEIGL_00213","NPNHHEFA_00250","EKGGEFJM_00212","IPCEDBCE_00384","BPLIIOBE_00383","LAKMDKJD_00252","HCNCMENI_00215","ABPCLIDI_00299","DPDPODFO_00468","GEBNMNOD_00354","FPOKCNBF_00820","JPMNGIHJ_00422","IENJPBOG_00778","EKEBIHOE_00932","KADELANJ_00655","NDKHHKNJ_00762","PDJHNNAA_00291","PHDCEHKO_00640","OOEMJHNJ_00192"
"group_1055","","hypothetical protein","20","20","1","2","116","","","","1280","1280","1280","BJDFHBJJ_00622","FHFNEIGL_00713","NPNHHEFA_00607","EKGGEFJM_00797","IPCEDBCE_00975","BPLIIOBE_00933","LAKMDKJD_01017","HCNCMENI_00900","ABPCLIDI_01380","DPDPODFO_01414","GEBNMNOD_00765","FPOKCNBF_00357","JPMNGIHJ_00744","IENJPBOG_00555","EKEBIHOE_01275","KADELANJ_01236","NDKHHKNJ_01038","PDJHNNAA_00380","PHDCEHKO_00573","OOEMJHNJ_01236"
"rpsE","","30S ribosomal protein S5","20","20","1","1","230","","","","443","443","443","BJDFHBJJ_00759","FHFNEIGL_01533","NPNHHEFA_00501","EKGGEFJM_00714","IPCEDBCE_00892","BPLIIOBE_00852","LAKMDKJD_00628","HCNCMENI_00790","ABPCLIDI_00060","DPDPODFO_01114","GEBNMNOD_00844","FPOKCNBF_01243","JPMNGIHJ_00095","IENJPBOG_00639","EKEBIHOE_00412","KADELANJ_01073","NDKHHKNJ_00975","PDJHNNAA_00784","PHDCEHKO_01142","OOEMJHNJ_00763"
"rpsI","","30S ribosomal protein S9","20","20","1","5","114","","","","389","389","389","BJDFHBJJ_00333","FHFNEIGL_00368","NPNHHEFA_00913","EKGGEFJM_00917","IPCEDBCE_00036","BPLIIOBE_00137","LAKMDKJD_00335","HCNCMENI_00330","ABPCLIDI_00189","DPDPODFO_00756","GEBNMNOD_01327","FPOKCNBF_01377","JPMNGIHJ_01056","IENJPBOG_00233","EKEBIHOE_00533","KADELANJ_01361","NDKHHKNJ_01371","PDJHNNAA_01247","PHDCEHKO_00493","OOEMJHNJ_00284"
"group_1058","","hypothetical protein","20","20","1","5","170","","","","1781","1781","1781","BJDFHBJJ_00388","FHFNEIGL_00314","NPNHHEFA_01018","EKGGEFJM_00367","IPCEDBCE_00088","BPLIIOBE_00085","LAKMDKJD_00388","HCNCMENI_00382","ABPCLIDI_00137","DPDPODFO_00704","GEBNMNOD_01379","FPOKCNBF_00216","JPMNGIHJ_00026","IENJPBOG_00182","EKEBIHOE_00481","KADELANJ_01434","NDKHHKNJ_01182","PDJHNNAA_00506","PHDCEHKO_01373","OOEMJHNJ_00336"
"moaA","","GTP 3',8-cyclase","20","20","1","4","108","","","","965","965","965","BJDFHBJJ_00046","FHFNEIGL_00044","NPNHHEFA_00043","EKGGEFJM_00042","IPCEDBCE_00213","BPLIIOBE_00297","LAKMDKJD_00043","HCNCMENI_00043","ABPCLIDI_00879","DPDPODFO_00068","GEBNMNOD_00288","FPOKCNBF_00149","JPMNGIHJ_00918","IENJPBOG_00961","EKEBIHOE_00768","KADELANJ_00533","NDKHHKNJ_00193","PDJHNNAA_00185","PHDCEHKO_01421","OOEMJHNJ_00022"
"group_106","","hypothetical protein","20","20","1","1","487","","","","650","989","971","BJDFHBJJ_00417","FHFNEIGL_01081","NPNHHEFA_00306","EKGGEFJM_01526","IPCEDBCE_00670","BPLIIOBE_00576","LAKMDKJD_00510","HCNCMENI_00509","ABPCLIDI_00979","DPDPODFO_00346","GEBNMNOD_00643","FPOKCNBF_00258","JPMNGIHJ_01159","IENJPBOG_01094","EKEBIHOE_00326","KADELANJ_00240","NDKHHKNJ_01224","PDJHNNAA_00714","PHDCEHKO_00798","OOEMJHNJ_00813"
"group_1060","","hypothetical protein","20","20","1","3","166","","","","488","488","488","BJDFHBJJ_01273","FHFNEIGL_01212","NPNHHEFA_01489","EKGGEFJM_01455","IPCEDBCE_01323","BPLIIOBE_01280","LAKMDKJD_01240","HCNCMENI_01315","ABPCLIDI_00278","DPDPODFO_00593","GEBNMNOD_01480","FPOKCNBF_00552","JPMNGIHJ_00949","IENJPBOG_01074","EKEBIHOE_01341","KADELANJ_00704","NDKHHKNJ_00008","PDJHNNAA_01214","PHDCEHKO_01490","OOEMJHNJ_01287"
"group_1061","","hypothetical protein","20","20","1","1","434","","","","659","659","659","BJDFHBJJ_00465","FHFNEIGL_01487","NPNHHEFA_00354","EKGGEFJM_00546","IPCEDBCE_00717","BPLIIOBE_00623","LAKMDKJD_00559","HCNCMENI_00557","ABPCLIDI_00932","DPDPODFO_00393","GEBNMNOD_00690","FPOKCNBF_00305","JPMNGIHJ_01112","IENJPBOG_01142","EKEBIHOE_00373","KADELANJ_00287","NDKHHKNJ_01271","PDJHNNAA_00667","PHDCEHKO_00751","OOEMJHNJ_00860"
"group_1062","","hypothetical protein","20","20","1","4","168","","","","344","344","344","BJDFHBJJ_00101","FHFNEIGL_00100","NPNHHEFA_00099","EKGGEFJM_00097","IPCEDBCE_00268","BPLIIOBE_00242","LAKMDKJD_00100","HCNCMENI_00099","ABPCLIDI_00812","DPDPODFO_00135","GEBNMNOD_00558","FPOKCNBF_00033","JPMNGIHJ_00207","IENJPBOG_00090","EKEBIHOE_01138","KADELANJ_01165","NDKHHKNJ_00248","PDJHNNAA_01125","PHDCEHKO_01098","OOEMJHNJ_01163"
"porD","","Pyruvate synthase subunit PorD","20","20","1","2","204","","","","392","392","392","BJDFHBJJ_01488","FHFNEIGL_01442","NPNHHEFA_01476","EKGGEFJM_01441","IPCEDBCE_01498","BPLIIOBE_01485","LAKMDKJD_01503","HCNCMENI_01516","ABPCLIDI_00577","DPDPODFO_01471","GEBNMNOD_00800","FPOKCNBF_01339","JPMNGIHJ_00506","IENJPBOG_01452","EKEBIHOE_01393","KADELANJ_01312","NDKHHKNJ_00587","PDJHNNAA_01204","PHDCEHKO_01547","OOEMJHNJ_00521"
"group_1064","","hypothetical protein","20","20","1","5","133","","","","353","353","353","BJDFHBJJ_00352","FHFNEIGL_00350","NPNHHEFA_00931","EKGGEFJM_00935","IPCEDBCE_00054","BPLIIOBE_00119","LAKMDKJD_00353","HCNCMENI_00348","ABPCLIDI_00171","DPDPODFO_00738","GEBNMNOD_01345","FPOKCNBF_01359","JPMNGIHJ_01074","IENJPBOG_00215","EKEBIHOE_00515","KADELANJ_01379","NDKHHKNJ_01389","PDJHNNAA_01265","PHDCEHKO_00511","OOEMJHNJ_00302"
"esiB","","Secretory immunoglobulin A-binding protein EsiB","20","20","1","2","190","","","","770","770","770","BJDFHBJJ_01454","FHFNEIGL_01384","NPNHHEFA_01379","EKGGEFJM_01403","IPCEDBCE_01492","BPLIIOBE_01472","LAKMDKJD_01469","HCNCMENI_01395","ABPCLIDI_01516","DPDPODFO_01463","GEBNMNOD_01289","FPOKCNBF_00748","JPMNGIHJ_01432","IENJPBOG_01525","EKEBIHOE_01466","KADELANJ_01009","NDKHHKNJ_01303","PDJHNNAA_01509","PHDCEHKO_01203","OOEMJHNJ_01564"
